Channel,ChannelLabel,Model,Samples_Per_Class,Run,MinSelectedSamplesPerClass,TotalSelectedTrainingSamples,TrainableParams,Accuracy,MacroF1,TestLoss,BestValAccuracy,BestValLoss,EpochsTrained,InputColumns
3ch,3 channel,LTC-4,50,6,50,500,86,82.99999833106995,83.19933231178378,0.48920321464538574,85.50000190734863,0.25979530811309814,2000,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,50,7,50,500,86,85.50000190734863,85.52380379046156,0.47771695256233215,85.50000190734863,0.3336774408817291,796,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,50,8,50,500,86,83.99999737739563,83.64785948460073,0.5926141738891602,85.50000190734863,0.3168964087963104,887,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,50,9,50,500,86,76.99999809265137,75.843092131918,0.4675389528274536,82.99999833106995,0.3832317292690277,535,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,50,10,50,500,86,86.00000143051147,85.97478978480261,0.45206835865974426,87.5,0.2760479748249054,1146,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,60,1,59,599,86,87.99999952316284,88.14385134346622,0.34096580743789673,87.99999952316284,0.39099568128585815,1005,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,60,2,59,599,86,82.4999988079071,81.89912047877378,0.3823437988758087,82.99999833106995,0.2853875458240509,777,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,60,3,59,599,86,83.99999737739563,83.70370718537687,0.3417205512523651,87.00000047683716,0.33452582359313965,800,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,60,4,59,599,86,86.50000095367432,86.52542668842635,0.44381773471832275,87.99999952316284,0.2695212662220001,2000,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,60,5,59,599,86,83.99999737739563,83.99227605702902,0.33112475275993347,88.49999904632568,0.3018534779548645,849,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,60,6,59,599,86,85.00000238418579,85.05764110803368,0.3718617558479309,88.49999904632568,0.29745206236839294,710,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,60,7,59,599,86,85.00000238418579,84.88371436847046,0.3597703278064728,88.49999904632568,0.3188556134700775,616,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,60,8,59,599,86,87.99999952316284,87.95116950589457,0.33241331577301025,91.00000262260437,0.27339446544647217,1491,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,60,9,59,599,86,88.49999904632568,88.57681318012972,0.34859272837638855,88.99999856948853,0.3194452226161957,758,"Thumb,Middle,Pinky"
3ch,3 channel,LTC-4,60,10,59,599,86,84.50000286102295,84.52026853849144,0.38742056488990784,86.00000143051147,0.3686022460460663,1076,"Thumb,Middle,Pinky"
